CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
31|310599|Health and Physical Education/Fitness, Other.|Any instructional program in health and physical education/fitness not listed above.|NULL|Y|PARKS, RECREATION, LEISURE AND FITNESS STUDIES|Services
31|3106|Outdoor Education.|Instructional content is defined in code 31.0601.|NULL|NULL|NULL|Services
31|310601|Outdoor Education.|A program that prepares individuals to work as an educator, instructor or facilitator in parks, recreational facilities, camps and other outdoor settings. Includes instruction in leadership skills, wilderness survival skills, first aid, group processes, c|13.1338 - Environmental Education.|NULL|NULL|Services
31|3199|Parks, Recreation, Leisure, and Fitness Studies, Other.|Instructional content is defined in code 31.9999.|NULL|NULL|NULL|Services
31|319999|Parks, Recreation, Leisure, and Fitness Studies, Other.|Any instructional program in parks, recreation, leisure and fitness studies not listed above.|NULL|NULL|NULL|Services
32|32|BASIC SKILLS AND DEVELOPMENTAL/REMEDIAL EDUCATION.|Instructional programs that focus on the fundamental knowledge and skills that individuals need to function productively in society.|NULL|NULL|NULL|Other
32|3201|Basic Skills and Developmental/Remedial Education.|Instructional content for this group of programs is defined in codes 32.0101 - 32.0199.|NULL|NULL|NULL|Other
32|320101|Basic Skills and Developmental/Remedial Education, General.|A general program that focuses on the fundamental knowledge and skills that individuals need to function productively in society.|NULL|NULL|NULL|Other
32|320104|Developmental/Remedial Mathematics.|A program that focuses on the development of computing and other mathematical reasoning abilities and skills.|NULL|NULL|NULL|Other
32|320105|Job-Seeking/Changing Skills.|A program that focuses on the development of skills related to job searches and self-marketing.  Includes instruction in assessing one's own capabilities and skills; filling out an application; and handling an interview.|NULL|NULL|NULL|Other
32|320107|Career Exploration/Awareness Skills.|A program that focuses on the linkage between individual capabilities and needs and the job market.  Includes instruction in the variety and scope of available employment, how to access job information, and techniques of self-analysis.|NULL|NULL|NULL|Other
32|320108|Developmental/Remedial English.|A program that focuses on the fundamental knowledge and skills in reading, writing and speaking that individuals need to function productively in society.|NULL|NULL|NULL|Other
32|320109|Second Language Learning.|A program that focuses on the development of proficiency in reading, writing, and speaking a language or languages, other than the mother tongue, that are needed to perform day-to-day tasks.  Includes instruction in the use of basic communication skills t|NULL|NULL|NULL|Other
32|320110|Basic Computer Skills.|A program that focuses on the knowledge and skills needed to operate a computer, including computer concepts, keyboarding and mouse skills, using computer hardware and software, and basic troubleshooting.|NULL|NULL|NULL|Other
32|320111|Workforce Development and Training.|A program that focuses on learning or upgrading basic skills in order to enhance job performance, promote career development, or train for a new job.|NULL|NULL|NULL|Other
32|320199|Basic Skills and Developmental/Remedial Education, Other.|Any instructional program in basic skills not listed above.|NULL|NULL|NULL|Other
33|33|CITIZENSHIP ACTIVITIES.|Instructional programs that prepare individuals for citizenship, and provide instruction in how citizens may engage in civic activities.|NULL|NULL|NULL|Social Sciences
33|3301|Citizenship Activities.|Instructional content for this group of programs is defined in codes 33.0101 - 33.0199.|NULL|NULL|NULL|Social Sciences
33|330101|Citizenship Activities, General.|A program that generally prepares individuals for citizenship, and focuses on how citizens may engage in civic activities.|NULL|NULL|NULL|Social Sciences
33|330102|American Citizenship Education.|A program that prepares individuals to take the oath of United States citizenship and to exercise the attendant rights and responsibilities of citizenship.|NULL|NULL|NULL|Social Sciences
33|330103|Community Awareness.|A program that focuses on local government and history, current issues, and focuses on how individuals can keep abreast of important issues that may affect them.|NULL|NULL|NULL|Social Sciences
33|330104|Community Involvement.|A program that focuses on how individuals may become actively involved in the social, economic and political issues and events affecting them; and the roles and methods that are available to influence community life and public policy.|NULL|NULL|NULL|Social Sciences
33|330105|Canadian Citizenship Education.|A program that prepares individuals to take the oath of Canadian citizenship and to exercise the attendant rights and responsibilities of citizenship.|NULL|NULL|NULL|Social Sciences
33|330199|Citizenship Activities, Other.|Any instructional program in citizenship activities not listed above.|NULL|NULL|NULL|Social Sciences
34|34|HEALTH-RELATED KNOWLEDGE AND SKILLS.|Instructional program that focus on the promotion of personal and family health.|NULL|NULL|NULL|Services
34|3401|Health-Related Knowledge and Skills.|Instructional content for this group of programs is defined in codes 34.0102 - 34.0199.|NULL|NULL|NULL|Services
34|340102|Birthing and Parenting Knowledge and Skills.|A program that focuses on all facets of the mother's and father's roles in family planning, prenatal preparation and care, the birthing experience, post-natal care and the raising of children.|NULL|NULL|NULL|Services
34|340103|Personal Health Improvement and Maintenance.|A program that focuses on the principles, techniques, and methods by which individuals can maintain or improve their overall physical and emotional well-being, as well as work on specific areas of personal health.|NULL|NULL|NULL|Services
34|340104|Addiction Prevention and Treatment.|A program that focuses on how individuals can avoid addictive substances and behaviors; the methods by which individuals can be treated for various addictions and related behavior problems; and the knowledge and coping skills needed by relatives and assoc|NULL|NULL|NULL|Services
34|340199|Health-Related Knowledge and Skills, Other.|Any instructional program in health-related knowledge and skills not listed above.|NULL|NULL|NULL|Services
35|35|INTERPERSONAL AND SOCIAL SKILLS.|Programs that focus on the development of methods and skills for effective interactions with others in a variety of settings (private, social, and business settings).|NULL|NULL|NULL|Liberal Arts
35|3501|Interpersonal and Social Skills.|Instructional content for this group of programs is defined in codes 35.0101 - 35.0199.|NULL|NULL|NULL|Liberal Arts
35|350101|Interpersonal and Social Skills, General.|A general program that focuses on how to effectively interact with others in private, social and business settings.|NULL|NULL|NULL|Liberal Arts
35|350102|Interpersonal Relationships Skills.|A program that focuses on how to increase one's ability to establish and maintain mutually satisfactory ties with other human beings.|NULL|NULL|NULL|Liberal Arts
35|350103|Business and Social Skills.|A program that focuses on how to increase one's ability to function effectively in social and business settings where interpersonal communication is required.|NULL|NULL|NULL|Liberal Arts
35|350199|Interpersonal Social Skills, Other.|Any instructional program in interpersonal social skills not listed above.|NULL|NULL|NULL|Liberal Arts
36|36|LEISURE AND RECREATIONAL ACTIVITIES.|Programs that focus on the development of an appreciation for and competency in recreational and leisure-related activities.|NULL|NULL|NULL|Services
36|3601|Leisure and Recreational Activities.|Instructional content for this group of programs is defined in codes 36.0101 - 36.0199.|NULL|NULL|NULL|Services
36|360101|Leisure and Recreational Activities, General.|A general program that focuses on the development of an appreciation for and competency in recreational and leisure-related activities.|NULL|NULL|NULL|Services
36|360102|Handicrafts and Model-Making.|A program that focuses on the fashioning of objects of decoration, utility or representation from various materials, including related matters of research, tool use and appreciation.|NULL|NULL|NULL|Services
36|360103|Board, Card and Role-Playing Games.|A  program that focuses on the rules and techniques of participation and skill-building in competitive activities of skill or chance, such as board games, card games or role-playing activities.|NULL|NULL|NULL|Services
36|360105|Home Maintenance and Improvement.|A program that focuses on the knowledge and skills associated with maintaining living space and related equipment and furnishings, as well as do-it-yourself repairs and improvement projects of varying complexity.|NULL|NULL|NULL|Services
36|360106|Nature Appreciation.|A program that focuses on how to increase one's understanding and knowledge of the natural environment in which we live, as well as techniques of wildlife observation and management.|NULL|NULL|NULL|Services
36|360107|Pet Ownership and Care.|A program that focuses on how to increase one's ability to care for domesticated animals kept for pleasure or work.|NULL|NULL|NULL|Services
36|360108|Sports and Exercise.|A program that focuses on the rules and techniques of participation and skill building in competitive physical activities, as well as non-competitive physical fitness programs.|NULL|NULL|NULL|Services
36|360109|Travel and Exploration.|A program that focuses on particular geographic areas or phenomena, and provides opportunities for organized trips or tours, including related knowledge and skills.|NULL|NULL|NULL|Services
36|360110|Art.|A program that focuses on the techniques and methods of creative self-expression in visual or plastic media, such as painting or sculpture.|NULL|NULL|NULL|Services
36|360111|Collecting.|A program that focuses on the knowledge and techniques necessary for acquiring and maintaining personal collections of objects, such as autographs, stamps, models, specimens, vehicles and antiques.|NULL|NULL|NULL|Services
36|360112|Cooking and Other Domestic Skills.|A program that focuses on the knowledge and skills related to food buying and preparation, home decoration, sewing and other domestic activities, either as hobbies or as routine tasks.|NULL|NULL|NULL|Services
36|360113|Computer Games and Programming Skills.|A program that focuses on the knowledge and skills associated with creating and maintaining computer programs, as well as playing computer-based games.|NULL|NULL|NULL|Services
36|360114|Dancing.|A program that focuses on the knowledge and skills related to recreational dance, such as square dancing, ballroom dancing, classical or modern dance.|NULL|NULL|NULL|Services
36|360115|Music.|A program that focuses on the knowledge and skills associated with personal music appreciation, the playing of a musical instrument, singing or recreational composition.|NULL|NULL|NULL|Services
36|360116|Reading.|A program that focuses on the activity of reading for pleasure, either alone or as part of a group experience.|NULL|NULL|NULL|Services
36|360117|Theatre/Theater.|A program that focuses on the knowledge and skills associated with participation in amateur theatrical productions, drama appreciation, and writing amateur plays.|NULL|NULL|NULL|Services
36|360118|Writing.|A program that focuses on the knowledge and skills related to creative writing and poetry composition for pleasure or profit, including methods of publication.|NULL|NULL|NULL|Services
36|360119|Aircraft Pilot (Private).|A program that prepares individuals to fly aircraft for personal use, and qualifies individuals to sit for the FAA pilot's license examination.  Includes instruction in principles of aircraft design and performance; aircraft flight systems and controls; f|NULL|NULL|NULL|Services
36|360199|Leisure and Recreational Activities, Other.|Any instructional program in leisure and recreational activities not listed above.|NULL|NULL|NULL|Services
37|37|PERSONAL AWARENESS AND SELF-IMPROVEMENT.|Programs that focus on the development of improved self-awareness, avoidance of stressful behavior, and improved decision-making skills.|NULL|NULL|NULL|Social Sciences
37|3701|Personal Awareness and Self-Improvement.|Instructional content for this group of programs is defined in codes 37.0101 - 37.0199.|NULL|NULL|NULL|Social Sciences
37|370101|Self-Awareness and Personal Assessment.|A program that focuses on the knowledge and skills useful in becoming aware of one's feelings, using methods of assessing one's personal attributes, and being aware of how one is perceived by others.|NULL|NULL|NULL|Social Sciences
37|370102|Stress Management and Coping Skills.|A program that focuses on the knowledge and skills useful in avoiding stressful situations and managing them when they occur, including dealing with complex and long-term stressful relationships.|NULL|NULL|NULL|Social Sciences
37|370103|Personal Decision-Making Skills.|A program that focuses on how to develop individuals' abilities to assess decisions affecting their lives and to make life choices consistent with needs and beliefs.|NULL|NULL|NULL|Social Sciences
37|370104|Self-Esteem and Values Clarification.|A program that focuses on the development of personal philosophies and ideas of positive self-concept and self-worth, and applying these knowledge and skills in everyday circumstances.|NULL|NULL|NULL|Social Sciences
37|370199|Personal Awareness and Self-Improvement, Other.|Any instructional program in personnel awareness and self-improvement not listed above.|NULL|NULL|NULL|Social Sciences
38|38|PHILOSOPHY AND RELIGIOUS STUDIES.|Instructional programs that focus on logical inquiry, philosophical analysis, and the academic study of organized systems of belief and religious practices.|NULL|NULL|NULL|Liberal Arts
38|3800|Philosophy and Religious Studies, General.|Instructional content is defined in code 38.0001.|NULL|NULL|NULL|Liberal Arts
38|380001|Philosophy and Religious Studies, General.|A general program that combines the study of philosophy and religious studies. Includes instruction in logic; ethics; epistemology; symbolism; phenomenology; the sociology, psychology, philosophy, anthropology, literature, and art of religion; and world r|38.0101 - Philosophy., 38.0201 - Religion/Religious Studies.|NULL|NULL|Liberal Arts
38|3801|Philosophy.|Instructional content for this group of programs is defined in codes 38.0101 - 38.0199.|NULL|NULL|NULL|Liberal Arts
38|380101|Philosophy.|A program that focuses on ideas and their logical structure, including arguments and investigations about abstract and real phenomena.  Includes instruction in logic, ethics, aesthetics, epistemology, metaphysics, symbolism, and history of philosophy, and|NULL|NULL|NULL|Liberal Arts
38|380102|Logic.|A program that focuses on the systematic study of valid inference, argument, and sound reasoning.  Includes instruction in Classical logic, properties of argument, validity, proof, fallacies, formal and material logic, symbolic and mathematical logic, ana|NULL|NULL|NULL|Liberal Arts
38|380103|Ethics.|A program that focuses on the systematic study of the theory of moral good and its application to various theoretical and practical problems.  Includes instruction in ethical theory, history of ethics, belief and value systems, ethical constructs, and app|NULL|NULL|NULL|Liberal Arts
38|380104|Applied and Professional Ethics.|A program that focuses on the systematic study of ethical issues in the workplace and public life, and the application of ethical decision-making to the practical problems of society and the professions. Includes instruction in ethical theory; history of |51.3201 - Bioethics/Medical Ethics.|NULL|NULL|Liberal Arts
38|380199|Philosophy, Other.|Any instructional program in Philosophy not listed above.|NULL|NULL|NULL|Liberal Arts
38|3802|Religion/Religious Studies.|Instructional content for this group of programs is defined in codes 38.0201 - 38.0299.|NULL|NULL|NULL|Liberal Arts
38|380201|Religion/Religious Studies.|A program that focuses on the nature of religious belief and specific religious and quasi-religious systems.  Includes instruction in phenomenology; the sociology, psychology, philosophy, anthropology, literature and art of religion; mythology; scriptural|NULL|NULL|NULL|Liberal Arts
38|380202|Buddhist Studies.|A program that focuses on the philosophy preached by Siddartha Gautama, the Buddha, in ancient India and subsequently interpreted by his disciples and apostles; together with the intellectual, cultural, social, and ritual developments of the faith and its|NULL|NULL|NULL|Liberal Arts
38|380203|Christian Studies.|A program that focuses on the philosophy and teachings of Jesus Christ and his apostles, and the subsequent intellectual and cultural movements and institutions based on Christianity.  Includes instruction in Christian sacred scripture, Christian literatu|39.0201 - Bible/Biblical Studies.|NULL|NULL|Liberal Arts
38|380204|Hindu Studies.|A program that focuses on the group of South Asian theologies and philosophies collectively known as Hinduism; together with the religious history and cultural and social manifestations of the faith.  Includes instruction in Hindu theology and philosophy |NULL|NULL|NULL|Liberal Arts
38|380205|Islamic Studies.|A program that focuses on Islam as preached by the Prophet Muhammad in 6th century Arabia and subsequently interpreted and elaborated by Islamic scholars and others; together with the cultural and social milieu related to the faith in various periods, loc|NULL|NULL|NULL|Liberal Arts
38|380206|Jewish/Judaic Studies.|A program that focuses on the history, culture, and religion of the Jewish people.  Includes instruction in Jewish religious heritage, sacred texts, and law; Jewish philosophy and intellectual history; Jewish life and culture, both in Israel and the Jewis|30.2101 - Holocaust and Related Studies., 39.0201 - Bible/Biblical Studies., 39.0605 - Rabbinical Studies., 39.0606 - Talmudic Studies.|NULL|NULL|Liberal Arts
38|380299|Religion/Religious Studies, Other.|Any instructional program in religion/religious studies not listed above.|NULL|NULL|NULL|Liberal Arts
38|3899|Philosophy and Religious Studies, Other.|Instructional content is defined in code 38.9999.|NULL|NULL|NULL|Liberal Arts
38|389999|Philosophy and Religious Studies, Other.|Any instructional program in philosophy and religion not listed above.|NULL|NULL|NULL|Liberal Arts
39|39|THEOLOGY AND RELIGIOUS VOCATIONS.|Instructional programs that focus on the intramural study of theology and that prepare individuals for the professional practice of religious vocations.|NULL|NULL|NULL|Liberal Arts
39|3902|Bible/Biblical Studies.|Instructional content is defined in code 39.0201.|NULL|NULL|NULL|Liberal Arts
39|390201|Bible/Biblical Studies.|A program that focuses on the Christian and/or Jewish Bible and related literature, with an emphasis on understanding and interpreting the theological, doctrinal, and ethical messages contained therein.  May include preparation for applying these studies |38.0203 - Christian Studies., 38.0206 - Jewish/Judaic Studies.|NULL|NULL|Liberal Arts
39|3903|Missions/Missionary Studies and Missiology.|Instructional content is defined in code 39.0301.|NULL|NULL|NULL|Liberal Arts
39|390301|Missions/Missionary Studies and Missiology.|A program that focuses on the theory and practice of religious outreach, social service and proselytization, and that prepares individuals for mission vocations.  Includes instruction in theology, evangelism, preaching, medical and social mission work, mi|NULL|NULL|NULL|Liberal Arts
39|3904|Religious Education.|Instructional content is defined in code 39.0401.|NULL|NULL|NULL|Liberal Arts
39|390401|Religious Education.|A program that focuses on the theory and practice of providing educational services to members of faith communities, within the context of a particular religion, and that prepares individuals to serve as religious educators.  Includes instruction in plann|NULL|NULL|NULL|Liberal Arts
39|3905|Religious/Sacred Music.|Instructional content is defined in code 39.0501.|NULL|NULL|NULL|Liberal Arts
39|390501|Religious/Sacred Music.|A program that focuses on the history, theory, composition, and performance of music for religious or sacred purposes, and that prepares individuals for religious musical vocations such as choir directors, cantors, organists, and chanters.|NULL|NULL|NULL|Liberal Arts
39|3906|Theological and Ministerial Studies.|Instructional content for this group of programs is defined in codes 39.0601 - 39.0699.|NULL|NULL|NULL|Liberal Arts
39|390601|Theology/Theological Studies.|A program that focuses on the beliefs and doctrine of a particular religious faith from the intramural point of view of that faith.  Includes instruction in systematic theology, historical theology, moral theology, doctrinal studies, dogmatics, apologetic|NULL|NULL|NULL|Liberal Arts
39|390602|Divinity/Ministry.|A program that prepares individuals for ordination as ministers or priests in any of the Christian religious traditions.  Includes instruction in the theology and polity of a particular church, church law, liturgy and ritual, principles of pastoral minist|NULL|NULL|NULL|Liberal Arts
39|390604|Pre-Theology/Pre-Ministerial Studies.|A program that prepares individuals to enter a seminary or other program leading to religious ordination, or a related religious vocation.|NULL|NULL|NULL|Liberal Arts
39|390605|Rabbinical Studies.|A program that prepares individuals for ordination as Rabbis. Includes instruction in Talmud, Halacha, Liturgy and Rituals, Rabbinical Thought, Jewish Ethics, Jewish Education, Pastoral Counseling and Homiletics.|38.0206 - Jewish/Judaic Studies.|NULL|NULL|Liberal Arts
39|390606|Talmudic Studies.|A program that prepares individuals for advanced Talmudic scholarship and research and for entry into a program leading to ordination as Rabbis; students are also qualified to enter conventional graduate and professional schools.  Includes instruction in |38.0206 - Jewish/Judaic Studies.|NULL|NULL|Liberal Arts
39|390699|Theological and Ministerial Studies, Other.|Any instructional program in theological and ministerial studies not listed above, including preparation for religious vocations in faiths other than Christianity and Judaism.|NULL|NULL|NULL|Liberal Arts
39|3907|Pastoral Counseling and Specialized Ministries.|Instructional content for this group of programs is defined in codes 39.0701 - 39.0799.|NULL|NULL|NULL|Liberal Arts
39|390701|Pastoral Studies/Counseling.|A program that focuses on the theory and principles of pastoral care and prepares ordained clergy to provide non-clinical pastoral counseling to individuals and groups.  Includes instruction in pastoral leadership, counseling psychology; crisis interventi|51.1506 - Clinical Pastoral Counseling/Patient Counseling.|NULL|NULL|Liberal Arts
39|390702|Youth Ministry.|A program that prepares the ordained clergy and other religious professionals to provide spiritual, counseling, and leadership services to children, adolescents, and young adults.  Includes instruction in child and adolescent psychology, human growth and |NULL|NULL|NULL|Liberal Arts
39|390703|Urban Ministry.|A program that prepares the ordained clergy and other religious professionals to provide spiritual, counseling, and leadership services to individuals and groups in urban communities. Includes instruction in bible study and theology, pastoral leadership a|NULL|NULL|NULL|Liberal Arts
39|390704|Women's Ministry.|A program that prepares non-ordained women to provide spiritual, counseling, and leadership services to other women in local churches, parachurch organizations, and other settings. Includes instruction in foundations of women's ministry, women's ministry |NULL|NULL|NULL|Liberal Arts
39|390705|Lay Ministry.|A program that prepares non-ordained individuals to serve as lay pastors, religious educators, youth leaders, and other professional positions open to the laity in local churches and other settings. Includes instruction in bible studies, theology, spiritu|NULL|NULL|NULL|Liberal Arts
39|390799|Pastoral Counseling and Specialized Ministries, Other.|Any instructional program in pastoral counseling and specialized ministries not listed above.|NULL|NULL|NULL|Liberal Arts
39|3999|Theology and Religious Vocations, Other.|Instructional content is defined in code 39.9999.|NULL|NULL|NULL|Liberal Arts
39|399999|Theology and Religious Vocations, Other.|Any instructional program in theological studies and religious vocations not listed above.|NULL|NULL|NULL|Liberal Arts
40|40|PHYSICAL SCIENCES.|Instructional programs that focus on the scientific study of inanimate objects, processes of matter and energy, and associated phenomena.|NULL|NULL|NULL|STEM
40|4001|Physical Sciences.|Instructional content is defined in code 40.0101.|NULL|NULL|NULL|STEM
40|400101|Physical Sciences.|A program that focuses on the major topics, concepts, processes, and interrelationships of physical phenomena as studied in any combination of physical science disciplines.|NULL|NULL|NULL|STEM
40|4002|Astronomy and Astrophysics.|Instructional content for this group of programs is defined in codes 40.0201 - 40.0299.|NULL|NULL|NULL|STEM
40|400201|Astronomy.|A general program that focuses on the planetary, galactic, and stellar phenomena occurring in outer space.  Includes instruction in celestial mechanics, cosmology, stellar physics, galactic evolution, quasars, stellar distribution and motion, interstellar|NULL|NULL|NULL|STEM
40|400202|Astrophysics.|A program that focuses on the theoretical and observational study of the structure, properties, and behavior of stars, star systems and clusters, stellar life cycles, and related phenomena.  Includes instruction in cosmology, plasma kinetics, stellar phys|NULL|NULL|NULL|STEM
40|400203|Planetary Astronomy and Science.|A program that focuses on the scientific study of planets, small objects, and related gravitational systems.  Includes instruction in the structure and composition of planetary surfaces and interiors, planetary atmospheres, satellites, orbital mechanics, |NULL|NULL|NULL|STEM
40|400299|Astronomy and Astrophysics, Other.|Any instructional program in astronomy and astrophysics not listed above.|NULL|NULL|NULL|STEM
40|4004|Atmospheric Sciences and Meteorology.|Instructional content for this group of programs is defined in codes 40.0401 - 40.0499.|NULL|NULL|NULL|STEM
40|400401|Atmospheric Sciences and Meteorology, General.|A general program that focuses on the scientific study of the composition and behavior of the atmospheric envelopes surrounding the earth, the effect of earth's atmosphere on terrestrial weather, and related problems of environment and climate.  Includes |NULL|NULL|NULL|STEM
40|400402|Atmospheric Chemistry and Climatology.|A program that focuses on the scientific study of atmospheric constituents, reactions, measurement techniques, and processes in predictive, current, and historical contexts.  Includes instruction in climate modeling, gases and aerosols, trace gases, aqueo|NULL|NULL|NULL|STEM
40|400403|Atmospheric Physics and Dynamics.|A program that focuses on the scientific study of the processes governing the interactions, movement, and behavior of atmospheric phenomena and related terrestrial and solar phenomena.  Includes instruction in cloud and precipitation physics, solar radiat|NULL|NULL|NULL|STEM
40|400404|Meteorology.|A program that focuses on the scientific study of the prediction of atmospheric motion and climate change.  Includes instruction in general circulation patterns, weather phenomena, atmospheric predictability, parameterization, numerical and statistical an|NULL|NULL|NULL|STEM
40|400499|Atmospheric Sciences and Meteorology, Other.|Any instructional program in atmospheric sciences and meteorology not listed above.|NULL|NULL|NULL|STEM
40|4005|Chemistry.|Instructional content for this group of programs is defined in codes 40.0501 - 40.0599.|NULL|NULL|NULL|STEM
40|400501|Chemistry, General.|A general program that focuses on the scientific study of the composition and behavior of matter, including its micro- and macro-structure, the processes of chemical change, and the theoretical description and laboratory simulation of these phenomena.|14.0701 - Chemical Engineering.|NULL|NULL|STEM
40|400502|Analytical Chemistry.|A program that focuses on the scientific study of techniques for analyzing and describing matter, including its precise composition and the interrelationships of constituent elements and compounds.  Includes instruction in spectroscopy, chromatography, at|NULL|NULL|NULL|STEM
40|400503|Inorganic Chemistry.|A program that focuses on the scientific study of the elements and their compounds, other than the hydrocarbons and their derivatives.  Includes instruction in the characterization and synthesis of non-carbon molecules, including their structure and their|NULL|NULL|NULL|STEM
40|400504|Organic Chemistry.|A program that focuses on the scientific study of the properties and behavior of hydrocarbon compounds and their derivatives. Includes instruction in molecular conversion and synthesis, molecular synthesis and design, the molecular structure of living cel|NULL|NULL|NULL|STEM
40|400506|Physical Chemistry.|A program that focuses on the scientific study of understanding and predicting the behavior of chemical systems ranging from nuclear particles to atoms, molecules, clusters, biological materials and macroscopic assemblies.  Includes instruction in quantum|NULL|NULL|NULL|STEM
40|400507|Polymer Chemistry.|A program that focuses on the scientific study of synthesized macromolecules and their interactions with other substances.  Includes instruction in molecular bonding theory, polymerization, properties and behavior of unstable compounds, the development of|14.3201 - Polymer/Plastics Engineering.|NULL|NULL|STEM
40|400508|Chemical Physics.|A program that focuses on the scientific study of structural phenomena combining the disciplines of physical chemistry and atomic/molecular physics. Includes instruction in heterogeneous structures, alignment and surface phenomena, quantum theory, mathema|NULL|NULL|NULL|STEM
40|400509|Environmental Chemistry.|A program that focuses on the scientific study of natural systems (air, water, and soil) through the use of chemical techniques and instrumentation, with an emphasis on the movement and fate of pollutants and chemical aspects of contaminant remediation. I|NULL|NULL|NULL|STEM
40|400510|Forensic Chemistry.|A program that focuses on the application of chemical techniques and instrumentation to the analysis and evaluation of physical evidence to aid in criminal investigations. Includes instruction in analytical, inorganic, organic, and physical chemistry; bio|43.0106 - Forensic Science and Technology.|NULL|NULL|STEM
40|400511|Theoretical Chemistry.|A program that focuses on the study of mathematical and computational methods and fundamental laws of physics to describe chemical phenomena and to develop empirical models of molecules and their interactions. Includes instruction in properties of small, |NULL|NULL|NULL|STEM
40|400599|Chemistry, Other.|Any instructional program in chemistry not listed above.|NULL|Y|PHYSICAL SCIENCES|STEM
40|4006|Geological and Earth Sciences/Geosciences.|Instructional content for this group of programs is defined in codes 40.0601 - 40.0699.|NULL|NULL|NULL|STEM
40|400601|Geology/Earth Science, General.|A program that focuses on the scientific study of the earth; the forces acting upon it; and the behavior of the solids, liquids and gases comprising it.  Includes instruction in historical geology, geomorphology, and sedimentology, the chemistry of rocks |14.3901 - Geological/Geophysical Engineering.|NULL|NULL|STEM
40|400602|Geochemistry.|A program that focuses on the scientific study of the chemical properties and behavior of the silicates and other substances forming, and formed by geomorphological processes of the earth and other planets.  Includes instruction in chemical thermodynamics|NULL|NULL|NULL|STEM
40|400603|Geophysics and Seismology.|A program that focuses on the scientific study of the physics of solids and its application to the study of the earth and other planets.  Includes instruction in gravimetric, seismology, earthquake forecasting, magnetrometry, electrical properties of soli|NULL|NULL|NULL|STEM
40|400604|Paleontology.|A program that focuses on the scientific study of extinct life forms and associated fossil remains, and the reconstruction and analysis of ancient life forms, ecosystems, and geologic processes. Includes instruction in sedimentation and fossilization proc|NULL|NULL|NULL|STEM
40|400605|Hydrology and Water Resources Science.|A program that focuses on the scientific study of the occurrence, circulation, distribution, chemical and physical properties, and environmental interaction of surface and subsurface waters, including groundwater.  Includes instruction in geophysics, ther|03.0205 - Water, Wetlands, and Marine Resources Management., 14.0805 - Water Resources Engineering.|NULL|NULL|STEM
40|400606|Geochemistry and Petrology.|A program that focuses on the scientific study of the igneous, metamorphic, and hydrothermal processes within the earth and the mineral, fluid, rock, and ore deposits resulting from them.  Includes instruction in mineralogy, crystallography, petrology, vo|NULL|NULL|NULL|STEM
40|400607|Oceanography, Chemical and Physical.|A program that focuses on the scientific study of the chemical components, mechanisms, structure, and movement of ocean waters and their interaction with terrestrial and atmospheric phenomena.  Includes instruction in material inputs and outputs, chemical|26.1302 - Marine Biology and Biological Oceanography.|NULL|NULL|STEM
40|400699|Geological and Earth Sciences/Geosciences, Other.|Any instructional program in geological and related sciences not listed above.|NULL|NULL|NULL|STEM
40|4008|Physics.|Instructional content for this group of programs is defined in codes 40.0801 - 40.0899.|NULL|NULL|NULL|STEM
40|400801|Physics, General.|A general program that focuses on the scientific study of matter and energy, and the formulation and testing of the laws governing the behavior of the matter-energy continuum.  Includes instruction in classical and modern physics, electricity and magnetis|14.1201 - Engineering Physics/Applied Physics.|NULL|NULL|STEM
40|400802|Atomic/Molecular Physics.|A program that focuses on the scientific study of the behavior of matter-energy phenomena at the level of atoms and molecules. Includes instruction in chemical physics, atomic forces and structure, molecular orbital theory, magnetic resonance, molecular b|NULL|NULL|NULL|STEM
40|400804|Elementary Particle Physics.|A program that focuses on the scientific study of the basic constituents of sub-atomic matter and energy, and the forces governing fundamental processes.  Includes instruction in quantum theory, field theory, single-particle systems, perturbation and scat|NULL|NULL|NULL|STEM
40|400805|Plasma and High-Temperature Physics.|A program that focuses on the scientific study of properties and behavior of matter at high temperatures, such that molecular and atomic structures are in a disassociated ionic or electronic state.  Includes instruction in magnetohydrodynamics, free elect|NULL|NULL|NULL|STEM
40|400806|Nuclear Physics.|A program that focuses on the scientific study of the properties and behavior of atomic nuclei.  Includes instruction in nuclear reaction theory, quantum mechanics, energy conservation, nuclear fission and fusion, strong and weak forces, nuclear modeling,|14.2301 - Nuclear Engineering.|NULL|NULL|STEM
40|400807|Optics/Optical Sciences.|A program that focuses on the scientific study of light energy, including its structure, properties and behavior under different conditions.  Includes instruction in wave theory, wave mechanics, electromagnetic theory, physical optics, geometric optics, q|14.1003 - Laser and Optical Engineering.|NULL|NULL|STEM
40|400808|Condensed Matter and Materials Physics.|A program that focuses on the scientific study of macroscopic physical phenomena and properties that arise from basic microscopic interactions.  Includes instruction in low-temperature and solid-state physics, x-ray physics, liquids and soft materials, in|NULL|NULL|NULL|STEM
40|400809|Acoustics.|A program that focuses on the scientific study of sound, and the properties and behavior of acoustic wave phenomena under different conditions.  Includes instruction in wave theory, the acoustic wave equation, energy transformation, vibration phenomena, s|NULL|NULL|NULL|STEM
40|400810|Theoretical and Mathematical Physics.|A program that focuses on the scientific and mathematical formulation and evaluation of the physical laws governing, and models describing, matter-energy phenomena, and the analysis of related experimental designs and results.  Includes instruction in cla|NULL|NULL|NULL|STEM
